dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01280199999746399995570467211792,5.49699997901916503906250000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00910460000159210060266534725315,0.03099989891052239848745486483494,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00617429999692829974133889692212,0.02900004386901849917634876874217,0.38494757028565967926780899688310,0.38684707010997987364220307426876,False,False,3,3,59,59,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00870980000036069949842509885229,0.02900004386901849917634876874217,0.29189396011731505442554635010310,0.29189396011731505442554635010310,False,True,3,3,9,9,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00904660000378489960459749141819,0.07799983024597159642077315311326,0.48414911752921407916971929807914,0.48414911752921407916971929807914,False,True,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00713299999915759964930206393774,0.02399992942810049920132620115965,0.17015424107045154511475004710519,0.14322730598474403551634281939187,False,False,13,15,177,177,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00717799999983980037410180585766,0.01900005340576170140276524023193,0.04974704254610490955501589382948,0.04681567300012201560122093724203,False,False,9,9,240,241,-0.04579058625876693267020556277203,0.02445429417356933046723277414003,0.04089434634779746252641885462253,0.01621058635228168898212430804051,-0.04553719482993529021896961239690,0.02297140194469266677446128710471,0.04258134969771455724529829467428,0.01673757125665060671582118345668,,,,,,,,,,,,,,,,
cardiacarrest,0.00691899999947049974824420104369,0.02200007438659659989022010506687,0.21323374082029430964801974823786,0.21323374082029430964801974823786,False,True,17,17,97,97,,,,,,,,,0.00098416462101332717951618356267,0.03216290010405917915159434983252,0.00098416462101332717951618356267,0.03216290010405918609048825373975,,,,,,,,,,,,
neuroblastoma,0.00292310000077120003478259313567,0.04500007629394529862221219218554,0.10764536043557207389831376076472,0.10764536043557207389831376076472,False,True,2,2,8,8,,,,,,,,,,,,,0.02846272359693600637053911839303,0.03693831770231711247864936353835,0.02846272359693600637053911839303,0.03693831770231711247864936353835,,,,,,,,
sepsis,0.04647929999919139798514322592382,0.22699999809265131167634876874217,-0.08039477281329182600799754254695,-0.08039477281329182600799754254695,False,False,4,4,532,532,,,,,,,,,,,,,,,,,-0.03273343977225769835248669892280,0.07533392306668398874514025465032,-0.03273343977225769835248669892280,0.07533392306668398874514025465032,,,,
type1diabetes,0.00153719999798340007345076596579,0.00000000000000000000000000000000,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
