dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01467490001232359987659581435082,5.46800017356872558593750000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01026490000367629926159018793896,0.02699995040893549830274267264940,0.53469983604387483211439757724293,0.53360446339648381908205010404345,False,False,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.01044840000395189962001385453050,0.02499985694885250089858352851024,0.19616248996223525913329410741426,0.19616248996223528688886972304317,False,True,7,7,57,57,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00854199999594120081003456590452,0.02600002288818350007493229725242,0.13298919417960380906507111831161,0.13298919417960375355391988705378,False,True,23,23,99,99,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00832009999430730062819350223435,0.02800011634826660156250000000000,0.48536829587145802200609523424646,0.48469794180854125498214557410392,False,False,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.01532979999319650059319553037085,0.02900004386901849917634876874217,,,True,True,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.01202660000126339924497731459496,0.01699995994567870052915914413916,,,True,True,1,1,85,85,-0.01299917105924455404397654945114,0.00061153053939689931955275836728,-0.00231634531787679306610860940907,0.00000599463837204872729145154961,-0.01299917105924455404397654945114,0.00061153053939689931955275836728,-0.00231634531787679306610860940907,0.00000599463837204872729145154961,,,,,,,,,,,,,,,,
cardiacarrest,0.01527090001036410064905179950756,0.01900005340576170140276524023193,,,False,False,2,1,37,21,,,,,,,,,-0.04415022556113210733252927298054,0.01093779134488574375505542946030,-0.00369769558586923114198996564994,0.00005644505289024802076281936425,,,,,,,,,,,,
neuroblastoma,0.00655770000594200000443301235009,0.00299978256225579996072094779436,,,True,True,1,1,2,2,,,,,,,,,,,,,-0.00357691508891340046935591878707,0.01925972790781654842007242223190,-0.00357691508891340046935591878707,0.01925972790781654842007242223190,,,,,,,,
sepsis,0.04849840000679250112680662709863,0.54099988937377929687500000000000,,,False,False,1,1,32,33,,,,,,,,,,,,,,,,,0.06436185323510400235758055487167,0.01456986967121067649832966139911,0.06280708000483391229007423817166,0.01369892106649542480589776261013,,,,
type1diabetes,0.00220040000567669992090347186320,0.00099992752075189999909354821028,,,True,True,1,1,59,59,,,,,,,,,,,,,,,,,,,,,0.02206962090901968057132798151088,0.00883433504543094071104203379718,0.02206962090901968057132798151088,0.00883433504543094071104203379718
