dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01949829999648499886943930903271,1.11100006103515625000000000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01374700000451409970247951264355,0.00000000000000000000000000000000,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.01299909999943330007887709598435,0.01999998092651359901661400897410,0.25376923035238790893330929065996,0.07704437304158485988470062011402,False,False,12,3,92,45,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.01322389999404540057714729783811,0.00800013542175290019720090839428,0.12073021383696772024229915132310,0.15454446385777356742785570986598,False,False,12,9,57,46,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.01225040000281290078487650418992,0.00200009346008300000624435810437,0.48536829587145802200609523424646,0.48536829587145802200609523424646,True,True,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.01233789999969299965021374276830,0.00499987602233880040064617489293,0.17137944645412617195034954420407,0.18588499815540526771684426421416,False,False,33,30,90,103,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.01077450001321260050768380267527,1.09000015258789062500000000000000,-0.01471580964802787772072178995586,-0.01996077379541284085862073993667,False,False,6,5,321,325,-0.03990871381813591162179832849688,0.02269538892193782159134585185711,0.07823264277696508062209801437348,0.02313859594574473391159763480118,-0.05680575320030071401200544300991,0.01889595181314667610150692667048,0.08107016574023803712201186044695,0.02138234750871120457005325476985,,,,,,,,,,,,,,,,
cardiacarrest,0.01067849999526510051950367596874,0.82800006866455078125000000000000,0.31989723948175108336755556592834,0.29187610742885611303520931869571,False,False,22,20,157,169,,,,,,,,,0.02212967636622678938018715655289,0.03764943393380318359398017946660,0.01744641764476759920876602905082,0.03488838416076129461673716036785,,,,,,,,,,,,
neuroblastoma,0.00363540000398640018863805067895,0.00199985504150390017846783408118,0.04568068504371154692211831616078,-0.01613663057451981616696734533889,False,False,7,4,112,118,,,,,,,,,,,,,0.00820653872601112728546457475431,0.07756590868847548780884437746863,0.01023315554624303069797264242879,0.04047009446649651315253137795480,,,,,,,,
sepsis,0.06483940000180149487718495038280,0.88999986648559570312500000000000,-0.32504871500621007607279011608625,-0.52244523230277295500201262257178,False,False,3,2,63,10,,,,,,,,,,,,,,,,,0.24150612110290917144972411279014,0.08271432097346820278005452564685,0.14457349279540657183140694996837,0.06477159268750211362775104362299,,,,
type1diabetes,0.00249369999801270008851772352898,0.86700010299682617187500000000000,0.12496945695450328850384380530159,0.12496945695450328850384380530159,True,False,2,2,21,21,,,,,,,,,,,,,,,,,,,,,-0.03012442698100851329323646154990,0.06493595271350911801722105565204,-0.03012442698100851329323646154990,0.06493595271350911801722105565204
