dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
neuroblastoma,0.00242040000011910011110116691668,1.26157249999999998557598246406997,0.07429322813937785929816470797959,,False,False,2,0,121,169,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,,1.25915209999988086941868914436782
sepsis,0.04533199999787029810249805450439,0.73245579999999999021298435764038,0.22370014411470212634114318461798,0.44126909910303063755421248970379,False,False,2,2,321,321,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.21756895498832851121306930508581,0.68712380000212969211048630313599
type1diabetes,0.00145839999822780009598732764431,0.68319770000000001886064637801610,,,True,True,0,0,67,67,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,,0.68173930000177218602175344130956
circles,0.00734039999952069976973945131249,0.00354710000000000007930323064897,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00379329999952069969043622066351
moons,0.00668099999893450018778606747105,0.00352369999999999983578136131257,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00315729999893450035200470615848
varied,0.00578320000204250034281372450096,0.00353959999999999995121124918285,0.44652902431128782545499689149437,0.44854832727142457393654240149772,False,False,3,3,58,58,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00201930296013674848154551000334,-0.00224360000204250039160247531811
aniso,0.00667299999986419988678987280650,3.32325550000000013994849723530933,0.61814807631235746399056552036200,0.61854787843804404090519710734952,False,False,3,3,12,12,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00039980212568657691463158698753,3.31658250000013588021374744130298
blobs,0.00614810000115529990682983196848,0.00338600000000000012079226507922,0.85434893199502248695154094093596,0.85434893199502248695154094093596,True,True,2,2,8,8,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00276210000115529978603756688926
no_structure,0.00622369999837239958051515742454,0.00337140000000000009117151478222,-0.42429523317612982680202549090609,-0.42429523317612982680202549090609,True,True,2,2,42,42,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00285229999837239948934364264232
heartfailure,0.00691889999870900010425778248191,0.83109109999999997153707909092191,0.62643859032536941544577757667867,0.62643859032536941544577757667867,True,True,4,4,42,42,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.82417220000129098878005606820807
cardiacarrest,0.00726030000078019960296771273534,0.67633900000000002350475369894411,,,False,False,3,2,234,329,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,,0.66907869999921987247404331355938
neuroblastoma,0.00202319999880270010028660010448,1.22378429999999993604831161064794,,,True,True,0,0,169,169,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,,1.22176110000119719778410853905370
sepsis,0.04624519999924810165214950075097,0.71559559999999999835296193850809,-0.00785052562255248581601918544948,-0.00785052562255248581601918544948,True,True,2,2,956,956,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.66935040000075185506744901431375
type1diabetes,0.00144680000084909990941406388032,0.67417800000000005500311317518936,,,True,True,0,0,67,67,manhattan-15-5,15,5,1.00000000000000000000000000000000,eom,,0.67273119999915098610188124439446
circles,0.00755040000149159989256686387193,0.00495060000000000031278313272765,0.74533529762485795089332896168344,0.74533529762485795089332896168344,True,True,2,2,3,3,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00259980000149159957978373114429
moons,0.00597800000105049977178195419469,0.00469650000000000015371037775935,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00128150000105049961807157643534
varied,0.00560779999796059969163763980760,0.00616120000000000035689229349600,0.77551337173732659557856550236465,0.77554195943808257318607957131462,False,False,3,3,86,86,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.00002858770075597760751406894997,0.00055340000203940066525465368841
aniso,0.00575640000170089989606214686546,3.31388190000000015800196706550196,0.72420996720327601714473075844580,0.72610425030022218706449166347738,False,False,3,3,55,54,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.00189428309694616991976090503158,3.30812549999829919045168935554102
blobs,0.00640890000067880025863553683507,0.00506600000000000019045875987445,0.84412967316390885574861613349640,0.84412967316390885574861613349640,True,True,2,2,14,14,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00134290000067880006817677696063
no_structure,0.00580600000103000026679955780651,0.00357690000000000004470868120166,0.27657594926598538798145909822779,0.27382931625851603119059518576250,False,False,5,5,257,260,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,-0.00274663300746935679086391246528,-0.00222910000103000022209087660485
heartfailure,0.01064519999999899955989146604907,0.82880989999999998829594005655963,0.70848774164303707223666606296320,0.73557435411790983437185786897317,False,False,3,3,81,82,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,0.02708661247487276213519180600997,0.81816470000000096618464340281207
cardiacarrest,0.00704969999787859961243308148937,0.60006090000000000816982037576963,,,False,False,2,0,349,422,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,,0.59301120000212137473027951273252
neuroblastoma,0.00296890000026900011120822853172,1.23060539999999996041424310533330,,,True,True,0,0,169,169,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,,1.22763649999973090132243669359013
sepsis,0.05097810000006570280151052543260,0.71194230000000002789306563499849,0.10792627506074492504950512739015,0.09536452646144588651822004976566,False,False,2,2,1089,1090,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,-0.01256174859929903853128507762449,0.66096419999993427651929778221529
type1diabetes,0.00173150000046000005979318636662,0.67696800000000001418243300577160,,,True,True,0,0,67,67,manhattan-25-15,25,15,1.00000000000000000000000000000000,eom,,0.67523649999954005185287542190054
circles,0.01455350000105679920958667850073,0.00557939999999999998447908211574,,,True,True,0,0,500,500,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00897410000105679922510759638499
moons,0.00863159999789779933121458554979,0.00762670000000000014583889651476,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00100489999789779918537568903503
varied,0.00923789999797000084547082821018,0.00782429999999999931103999983861,0.67795690714305589796850881612045,0.67795690714305589796850881612045,True,True,2,2,66,66,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00141359999797000153443082837157
aniso,0.01156240000273099990946157333838,5.17173700000000025056579033844173,0.78067003196792095209843864722643,0.78067003196792095209843864722643,True,True,2,2,38,38,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,5.16017459999726924024798790924251
blobs,0.01123290000032279960240355620726,0.01185779999999999993753885263459,0.83393647560960559861342744625290,0.83393647560960559861342744625290,True,True,2,2,20,20,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.00062489999967720033513529642732
no_structure,0.00927600000068190023994052495482,0.01071169999999999934703343029696,,,True,True,0,0,500,500,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,0.00143569999931809910709290534214
heartfailure,0.01224619999993590072073779140283,1.43176170000000002602291715447791,0.65373299869710654874666033720132,0.67972394362551991076060176055762,False,False,2,2,116,116,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,0.02599094492841336201394142335630,1.41951550000006410101605069939978
cardiacarrest,0.01272169999720059938019822709521,1.37776629999999999931503680272726,,,True,True,0,0,422,422,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,1.36504460000279936870981600804953
neuroblastoma,0.00394889999734000015502166647252,1.96901239999999999596980160276871,,,True,True,0,0,169,169,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,1.96506350000265994637516087095719
sepsis,0.08956649999890939350954965902929,1.23457710000000009387122190673836,,,True,True,0,0,1257,1257,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,1.14501060000109067260609663208015
type1diabetes,0.00260949999938020005610384011163,1.21490830000000005206572950555710,,,True,True,0,0,67,67,manhattan-100-25,100,25,1.00000000000000000000000000000000,eom,,1.21229880000061984723913610650925
circles,0.01648700000077949964771839574951,0.00599240000000000015700774014249,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,-0.01049460000077949949071065560702
moons,0.00775680000151619981896278233080,0.00543450000000000009447997939560,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,-0.00232230000151619972448280293520
varied,0.00877500000206049915463246691161,0.00644579999999999979365394864317,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,-0.00232920000206049936097851826844
aniso,0.00794339999993090052632371822483,3.23942830000000014933903003111482,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,3.23148490000006916034180903807282
blobs,0.00881670000308070085648370906029,0.00571659999999999963310459705212,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,-0.00310010000308070122337911200816
no_structure,0.00783999999839569972071018355564,0.00575670000000000001150191053512,,,True,True,0,0,500,500,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,-0.00208329999839569970920827302052
heartfailure,0.00957670000207140083292589594066,0.84436100000000002818723032760317,,,True,True,0,0,425,425,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,0.83478429999792858051677058028872
cardiacarrest,0.00968239999929209997631129880347,0.61598500000000000476063632959267,,,True,True,0,0,422,422,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,0.60630260000070790304960155481240
neuroblastoma,0.00324160000309339996552027152177,0.63640200000000002322764203199768,,,True,True,0,0,169,169,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,0.63316039999690665318610172107583
sepsis,0.06432059999860939569771289825439,0.78124590000000004863522917730734,,,True,True,0,0,1257,1257,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,0.71692530000139065293751627905294
type1diabetes,0.00167430000146849989467456865100,0.68392669999999999852491328056203,,,True,True,0,0,67,67,manhattan-200-50,200,59,1.00000000000000000000000000000000,eom,,0.68225239999853148908925959403859
circles,0.01672400000097689840017345375145,0.00979030000000000004412026299860,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,False,2,2,0,0,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00693370000097689835605319075285
moons,0.01202600000033269937727009590844,0.00937389999999999924684690455479,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00265210000033270013042319135366
varied,0.01037969999742919917362637960423,0.00525130000000000041193715105692,0.51547607840590203842623395757983,0.51547607840590203842623395757983,True,False,3,3,50,50,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00512839999742919876168922854731
aniso,0.01064549999864529937487755972825,4.72451889999999963265508995391428,0.63894839487365029384591252892278,0.52942079472745684487478001756244,False,False,3,4,12,28,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,-0.10952760014619344897113251136034,4.71387340000135424133986816741526
blobs,0.01209120000203250076820093994456,0.00493940000000000004054534485931,0.85737894909254408482013332104543,0.85737894909254408482013332104543,True,True,2,2,6,6,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00715180000203250072765559508525
no_structure,0.01247810000131720047089611824731,0.00394200000000000019134693829415,0.26437192654117058765450565260835,0.29540862265277506581995226042636,False,False,12,12,195,197,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.03103669611160447816544660781801,-0.00853610000131720114691091794157
heartfailure,0.01729380000324449995208198060936,1.48202780000000000626414475846104,0.61768332167705064517093660469982,0.63700751994857451876441700733267,False,False,5,5,27,27,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,0.01932419827152387359348040263285,1.46473399999675546467869935440831
cardiacarrest,0.01061229999686470054642839500048,0.96175299999999996902744214821723,,,False,False,6,3,279,295,chebyshev-10-5,10,5,1.00000000000000000000000000000000,eom,,0.95114070000313521990875642586616
