dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00535467000299830013509971848862,0.00519999265670770000752343165118,,,True,True,0,0,500,500
moons,0.00549182999675390005889230593539,0.00435000658035269993639815311326,,,True,True,0,0,500,500
varied,0.00508902500005199969618230326773,0.00364999771118160003247066214271,,,True,True,0,0,500,500
aniso,0.00508752000314410032094647462486,0.43244999647140497378572376874217,,,True,True,0,0,500,500
blobs,0.00576908500370330000472929299349,0.00390000343322749985774944292416,,,True,True,0,0,500,500
no_structure,0.00509888500237130025405374311731,0.00360000133514400003434396957402,,,True,True,0,0,500,500
heartfailure,0.00603936499828700013026150372752,0.04700000286102289787093511108651,,,True,True,0,0,425,425
cardiacarrest,0.00642148499755419970708159027595,0.03324999809265129918633974170916,,,True,True,0,0,422,422
neuroblastoma,0.00267750999628330000820741751966,0.03310000896453849789091705702049,,,True,True,0,0,169,169
sepsis,0.04679177000070919995033946747753,0.07365000247955319490067438437109,,,True,True,0,0,1257,1257
type1diabetes,0.00197989499574749991742117494198,0.03595000505447380062529205702049,,,True,True,0,0,67,67
