dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00837150999868749995380667883182,0.01644999980926509924872291890097,0.99999999999978128606414884416154,0.99999999999978128606414884416154,True,False,1,1,0,0
moons,0.00532456999935670017426447842013,0.00525000095367429957943228302497,,,True,True,0,0,500,500
varied,0.00641392499819629959001421326548,0.00600000619888299991516733555841,,,True,True,0,0,500,500
aniso,0.00596810000570249972462466558909,0.69120000600814823776829598500626,,,True,True,0,0,500,500
blobs,0.00685266500513530014276897261993,0.00635000467300409973669950147723,,,True,True,0,0,500,500
no_structure,0.00817854000051729951303869370349,0.01510000228881830039440181678856,0.99999999999963373742417616085731,0.99999999999963373742417616085731,True,False,1,1,0,0
heartfailure,0.00764569999737430006092608891777,0.06244999170303339869336767264940,,,True,True,0,0,425,425
cardiacarrest,0.00995601500180780078774755992299,0.03904999494552609945463572671542,,,True,True,0,0,422,422
neuroblastoma,0.00302488999877820012585072362299,0.03644999265670770260960864561639,,,True,True,0,0,169,169
sepsis,0.06755471999640569324974137543904,0.08825000524520870692768426124530,,,True,True,0,0,1257,1257
type1diabetes,0.00174561999738209999016858020582,0.03880000114440910335966705702049,,,True,True,0,0,67,67
