dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00512236500071589981319952755712,0.00405000448226919967931181076892,,,True,True,0,0,500,500
moons,0.00509611000015859974543452892703,0.00379999876022329985403302998748,,,True,True,0,0,500,500
varied,0.00484643500676610033267577293259,0.00364999771118160003247066214271,,,True,True,0,0,500,500
aniso,0.00472713999915859960088138080891,0.43624999523162838466205926124530,,,True,True,0,0,500,500
blobs,0.00533159999758929959573494627989,0.00405000448226919967931181076892,,,True,True,0,0,500,500
no_structure,0.00468541500740680006559246706388,0.00394999980926510028955700448705,,,True,True,0,0,500,500
heartfailure,0.00615527000045399969724302380314,0.05130000114440910058410949545760,,,True,True,0,0,425,425
cardiacarrest,0.00635741999431040007845217232330,0.03719999790191649835513487687422,,,True,True,0,0,422,422
neuroblastoma,0.00270687499578339992034603511684,0.03255000114440909780855193389471,,,True,True,0,0,169,169
sepsis,0.04474002499919149666851581059746,0.07470000982284540069766620717928,,,True,True,0,0,1257,1257
type1diabetes,0.00169557499903019996863318130664,0.03535000085830680011111937233181,,,True,True,0,0,67,67
