dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.01253950000100300006533604602055,0.00974999666213979994389138283850,,,True,True,0,0,500,500
moons,0.01179121999739429944853430498597,0.01549999713897699978037980628187,0.49318648232468431658048757526558,0.49318648232468431658048757526558,True,True,2,2,74,74
varied,0.01206101999850939937575233784628,0.01089999675750730027956603152006,,,True,True,0,0,500,500
aniso,0.01102840499952430046437523714076,1.16694999933242793410670401499374,,,True,True,0,0,500,500
blobs,0.01286416000075400051239071785858,0.00839999914169309996880841140410,,,True,True,0,0,500,500
no_structure,0.01040194000233890005147063817503,0.00910000801086419987273590237464,,,True,True,0,0,500,500
heartfailure,0.01284416999842499969297637818499,0.07454999685287469479710864561639,,,True,True,0,0,425,425
cardiacarrest,0.01204074499692060068456456178865,0.05064998865127560284671304202675,,,True,True,0,0,422,422
neuroblastoma,0.00368405500630610005519116612049,0.04879999160766600174721219218554,,,True,True,0,0,169,169
sepsis,0.05852119500050319972350720831855,0.11279999017715450215781913811952,,,True,True,0,0,1257,1257
type1diabetes,0.00214549000229449999058162212862,0.04840000867843619741792693389471,,,True,True,0,0,67,67
