dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise
circles,0.01690649999363810079833214672362,1.80900001525878906250000000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0
moons,0.00775730000168549978928345112195,0.10500001907348630036942438437109,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0
varied,0.00595540000358590025653082733470,0.02600002288818350007493229725242,0.07704437304158485988470062011402,0.07704437304158485988470062011402,False,True,3,3,45,45
aniso,0.00666880000790109981473330336144,0.02699995040893549830274267264940,0.13115431510850070195850491927558,0.13115431510850070195850491927558,False,True,3,3,5,5
blobs,0.00624040000548119980910977133703,0.02399992942810049920132620115965,0.48536829587145802200609523424646,0.48536829587145802200609523424646,False,True,2,2,3,3
no_structure,0.01074969999899619971239772553417,0.02600002288818350007493229725242,,,True,True,1,1,8,8
