dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01336330000049200036893459753173,5.61199998855590820312500000000000,,,True,True,0,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01036130000284169946911383419774,0.02500009536743159899163657655663,0.53398436386489955829404152609641,0.53288899121750854526169405289693,False,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00804429999698180048239848360936,0.02600002288818350007493229725242,0.58669301798915352019747615486267,0.58772316925794709785435543381027,False,False,3,3,94,93,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00747099999716729998994191319639,0.02999997138977050087360609609277,0.40022571690184571835402493888978,0.40022571690184571835402493888978,True,True,2,2,32,32,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00921359999483679914522582521386,0.09500002861022939504298534529880,0.45741165988348558846254832133127,0.45741165988348558846254832133127,False,True,2,2,24,24,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00838030000159050054986398237133,0.02900004386901849917634876874217,0.01980114711505054359008681785781,0.01980114711505054359008681785781,True,True,3,3,286,286,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00840579999930919988249122809520,0.01999998092651359901661400897410,,,True,True,0,0,425,425,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,,,,,,,,,
cardiacarrest,0.00856840000051299968686357999559,0.04799985885620110248606096092772,,,True,True,0,0,422,422,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,,,,,
neuroblastoma,0.00269040000421219994281019083360,0.00400018692016600001248871620874,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.05255929999839280275519826091113,0.21300005912780758943192438437109,-0.01781068975504933316056366265911,-0.01781068975504933316056366265911,True,True,2,2,739,739,,,,,,,,,,,,,,,,,-0.06448121083060857905433493897362,0.08066561783493036985603907851328,-0.06448121083060857905433493897362,0.08066561783493036985603907851328,,,,
type1diabetes,0.00178130000131199997190356576482,0.00100016593933100004371050673058,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
