dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01336339999397750076537416674682,6.06500005722045898437500000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00965510000241920005037421503857,0.02799987792968750000000000000000,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00866719999612539961086898898657,0.02900004386901849917634876874217,0.51100388393075413251409599979525,0.49899444675109760893860766373109,False,False,3,3,74,73,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00684819999878519963809608839256,0.02600002288818350007493229725242,0.34887842595628393294049374162569,0.34978838026454117660080100904452,False,False,3,3,30,29,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00760650000302120002371175644384,0.02799987792968750000000000000000,0.48143070098083562413648905931041,0.48186785923150432520145614034845,False,False,2,2,9,9,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00759869999455980039276825621641,0.09599995613098140367913657655663,0.04903128631551978422464799223235,0.16273722401167495243967664464435,False,False,4,4,215,216,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00914170000032749931195841242015,0.01999998092651359901661400897410,0.00771271156011787972772708599223,0.00771271156011787972772708599223,True,True,2,2,366,366,-0.05164551689172193482679773524069,0.00914108201731633068787274964961,0.03026077593930163664448507176985,0.00406130529409305229132653991542,-0.05164551689172193482679773524069,0.00914108201731633068787274964961,0.03026077593930163664448507176985,0.00406130529409305229132653991542,,,,,,,,,,,,,,,,
cardiacarrest,0.00934560000314369962448601825145,0.01900005340576170140276524023193,0.09201381543352671332769432410714,0.09201381543352671332769432410714,False,True,8,8,154,154,,,,,,,,,0.00549200095886469806527596659862,0.01937334111104693085136929653345,0.00549200095886469806527596659862,0.01937334111104692738192234457983,,,,,,,,,,,,
neuroblastoma,0.00338039999769530015091834052043,0.00400018692016600001248871620874,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.05039969999779710108089858522362,0.25099992752075189761384876874217,-0.05679272031473574233739753935879,-0.05679272031473574927629144326602,False,True,4,4,657,657,,,,,,,,,,,,,,,,,-0.06578790079030738535692535151611,0.07798657507817104150849019106317,-0.06578790079030738535692535151611,0.07798657507817104150849019106317,,,,
type1diabetes,0.00180420000106090001011638346284,0.00099992752075189999909354821028,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
