dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
varied,0.01033364999748299928317152307500,0.00675209581646419969291894602748,0.73981583301240538830256809887942,0.73981583301240538830256809887942,True,True,3,3,74,74,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00358155418101879959025257704752
aniso,0.00957871999999040067697020361948,0.00677501924119240043348222357622,0.68869516566220523312580326091847,0.68869516566220523312580326091847,True,True,3,3,76,76,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00280370075879800024348798004326
blobs,0.01029596999869679917194442708706,0.00680294334239129987185190628907,0.85256944218582375594195355006377,0.85256944218582375594195355006377,True,True,2,2,9,9,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00349302665630549930009252079799
no_structure,0.01039216000353910054898598502859,0.00661352741721850032052820722583,0.34944853696831079670204189824290,0.34944853696831079670204189824290,True,True,7,7,259,259,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00377863258632060022845777780276
heartfailure,0.01865814999910070035027409574013,0.00857655410958899945550459875676,0.76792785903641902489624726513284,0.76792785903641902489624726513284,True,True,4,4,42,42,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.01008159588951170089476949698337
cardiacarrest,0.01256404999585349936686018423870,0.00666847856191740001596812703610,,,True,True,3,3,350,350,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00589557143393609935089205720260
neuroblastoma,0.00415107999579040001791874203718,0.00171361781905739998972670878885,,,True,True,3,3,52,52,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00243746217673300024503246774543
sepsis,0.09593344000459179399253883957499,0.05126509285714279939849546963160,-0.09898140714754952163012546861864,-0.09898140714754952163012546861864,True,True,2,2,548,548,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.04466834714744899459404336994339
type1diabetes,0.00300280000083139996663872395288,0.00066359712651320001790267166797,,,True,True,0,0,67,67,chebyshev-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00233920287431819973189561778781
circles,0.01179038000700519984997871603127,0.00723613916184970024786382580828,0.72490733719125222123125240614172,0.72490733719125222123125240614172,True,True,2,2,7,7,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00455424084515549960211489022299
moons,0.00941852999676479930857286859691,0.00647557461139889982415507319047,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00294295538536589948441779540644
varied,0.00937817999802060056624419814852,0.00664109389920419963815323427525,0.73981583301240538830256809887942,0.73981583301240538830256809887942,True,True,3,3,74,74,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00273708609881640092809096387327
aniso,0.01011191000579850056417807735443,0.00669687399463800032278770757443,0.68869516566220523312580326091847,0.68869516566220523312580326091847,True,True,3,3,76,76,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00341503601116050024139036977999
blobs,0.01040432999434410046846188890868,0.00679874217687070035720520166933,0.85256944218582375594195355006377,0.85256944218582375594195355006377,True,True,2,2,9,9,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00360558781747340011125668723935
no_structure,0.01030163000395980035794885054656,0.00775873990683220021713495384574,0.10012810124522521226797522331253,0.10012810124522521226797522331253,True,True,2,2,210,210,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00254289009712760014081389670082
heartfailure,0.01819612000253980135799913853134,0.00853248788395899980530057149508,0.76141368734485248559451520122821,0.76141368734485248559451520122821,True,True,3,3,55,55,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00966363211858080155269856703626
cardiacarrest,0.01287386000331020019515904095897,0.00651416310299859999816129985106,,,True,True,0,0,422,422,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,,-0.00635969690031160019699774110791
neuroblastoma,0.00394828999706070028763438273245,0.00151008949121739992176027822524,,,True,True,0,0,169,169,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,,-0.00243820050584330014903367001011
sepsis,0.09952412999118670500209304918826,0.05395287849462360174612740593147,0.03322864969206888036135083552836,0.03322864969206888036135083552836,True,True,2,2,1081,1081,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.04557125149656310325596564325679
type1diabetes,0.00380500000610480004770153072968,0.00065113569283000002820699370076,,,True,True,0,0,67,67,chebyshev-25-15,25,15,1.00000000000000000000000000000000,eom,,-0.00315386431327479991107431978037
circles,0.01154550000210289965874022044545,0.00765248437978559986616389210212,,,True,True,0,0,500,500,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00389301562231729979257632834333
moons,0.01033020000031679985763588547343,0.00744186279761899997092777780949,0.88639818937257586206612813839456,0.88639818937257586206612813839456,True,True,2,2,9,9,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00288833720269779988670810766394
varied,0.01070094999740829957990406740009,0.00720506086330930002603611939094,0.77194593831629665370286375036812,0.77194593831629665370286375036812,True,True,2,2,72,72,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00349588913409899955386794800916
aniso,0.01066610999987459978965986806543,0.00715775171919770004935745788543,0.73746003435640716805465899597039,0.73746003435640716805465899597039,True,True,2,2,30,30,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00350835828067689974030241017999
blobs,0.01094074000720859918267535704217,0.00832538635607319929543557179841,0.83918730568406030290162789242459,0.83918730568406030290162789242459,True,True,2,2,17,17,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00261535365113539988723978524376
no_structure,0.01089875000470780057326702916498,0.00699776302520999961276348955153,,,True,True,0,0,500,500,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00390098697949780096050353961346
heartfailure,0.01899482999870080041082687216658,0.00933749888059699946485370247728,0.61740096818043732618264129996533,0.61740096818043732618264129996533,True,True,2,2,96,96,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00965733111810380094597316968930
cardiacarrest,0.01386971000174519984271537254017,0.00754549622926089982172248582515,,,True,True,0,0,422,422,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00632421377248430002099288671502
neuroblastoma,0.00447757999936579994398888615592,0.00177684256227749999904053090916,,,True,True,0,0,169,169,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00270073743708829994494835524677
sepsis,0.10139501999947239663235620810156,0.05852029534883720213178648350549,,,True,True,0,0,1257,1257,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.04287472465063519450056972459606
type1diabetes,0.00340601000061719998146525512084,0.00116977899811849996719592681416,,,True,True,0,0,67,67,chebyshev-100-25,100,25,1.00000000000000000000000000000000,eom,,-0.00223623100249870001426932830668
circles,0.01332741999358399986874701426132,0.01059095550847449947184930607591,,,True,True,0,0,500,500,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00273646448510950039689770818541
moons,0.01272276000236160012346608993994,0.00911140072727270079744332775817,0.76627386691419774322753255546559,0.76627386691419774322753255546559,True,True,2,2,90,90,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00361135927508889932602276218176
varied,0.01304862999822939927108134128275,0.00935456411214950073196305879719,,,True,True,0,0,500,500,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00369406588607989853911828248556
aniso,0.01179710999713269939381810047507,0.00897473734290839958438468215718,,,True,True,0,0,500,500,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00282237265422429980943341831789
blobs,0.01327922999917060045693695258251,0.00966136081081079949040013588046,,,True,True,0,0,500,500,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00361786918835980096653681670205
no_structure,0.01328878999920560070868713609116,0.00895147580645160034773510915329,,,True,True,0,0,500,500,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00433731419275400036095202693787
heartfailure,0.02129046999907580062227907546912,0.01048996352201250065183657511625,,,True,True,0,0,425,425,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.01080050647706329997044250035287
cardiacarrest,0.01642066000204060044476150892478,0.00930791948051939987962555278500,,,True,True,0,0,422,422,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00711274052152120056513595613978
neuroblastoma,0.00499647000106050002965485390405,0.00240693857280609982071672980908,,,True,True,0,0,169,169,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00258953142825440020893812409497
sepsis,0.11330709999892860095904723038984,0.06518756493506490390377194898974,,,True,True,0,0,1257,1257,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.04811953506386369705527528140010
type1diabetes,0.00327017000236080011832395797455,0.00118746373600189998077925057629,,,True,True,0,0,67,67,chebyshev-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00208270626635890035438514189536
