dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01437039999291300079731215078027,0.75499987602233886718750000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01456390001112589996368207323485,0.00400018692016600001248871620874,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00595510000130159995040957099377,0.00500011444091790022842269891612,0.38494757028565967926780899688310,0.38684707010997987364220307426876,False,False,3,3,59,59,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00704559999576300031304265658605,0.00300002098083489978849747181755,0.29189396011731505442554635010310,0.29189396011731505442554635010310,True,True,3,3,9,9,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00570670000161039962793818602904,0.00500011444091790022842269891612,0.48414911752921407916971929807914,0.48414911752921407916971929807914,True,True,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00682869998854579961233834950463,0.00300002098083489978849747181755,0.18096457063320900426894866086514,0.18073552990721608590973801256041,False,False,11,11,185,187,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00822229999175760027652071215698,0.87800002098083496093750000000000,0.00109411071806156520377917296116,0.00109411071806156520377917296116,True,True,2,2,380,380,-0.06187440131691656491907949089182,0.02538913894825042469327591732053,0.05000184763195171522287552079433,0.01192634310060640065453974045795,-0.06187440131691656491907949089182,0.02538913894825042469327591732053,0.05000184763195171522287552079433,0.01192634310060640065453974045795,,,,,,,,,,,,,,,,
cardiacarrest,0.00605260000156699999596110473021,0.62899994850158691406250000000000,0.01712849325439190148467893948236,0.10439034482698161809821613132954,False,False,5,4,260,309,,,,,,,,,0.03883547044080078169958625267100,0.01316583813520367206295613726752,0.00882723578394641050781643798473,0.00807000486265264244112316305291,,,,,,,,,,,,
neuroblastoma,0.00229099999705789994508542406493,0.00099992752075189999909354821028,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.04274140000052280286002570619530,0.67600011825561523437500000000000,-0.38929016363664409317024706069787,-0.38929016363664409317024706069787,True,True,2,2,15,15,,,,,,,,,,,,,,,,,0.14825105855441123026139393914491,0.06089461682480760279512210786379,0.14825105855441123026139393914491,0.06089461682480760279512210786379,,,,
type1diabetes,0.00151780000305729999461601398281,0.63599991798400878906250000000000,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
