dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01065820000076199945693300463745,5.56699991226196289062500000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00723940000170839991627813603259,0.02999997138977050087360609609277,0.53469983604387483211439757724293,0.53360446339648381908205010404345,False,False,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00604200000088889969257488488097,0.02800011634826660156250000000000,0.60723331939802016599116996076191,0.60743127711489752762474836345064,False,False,3,3,79,79,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00670090000494379979534276259301,0.02799987792968750000000000000000,0.34794739786399303538289018433716,0.34896343062888268704568872635718,False,False,3,3,59,58,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00825299999996779998223672691893,0.33000016212463378906250000000000,0.47949032686751014153969663311727,0.47992864610490698629163830446487,False,False,2,2,12,12,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00580600000103000026679955780651,0.04100012779235839843750000000000,0.09099126314650168856346112988831,0.09099126314650168856346112988831,False,True,3,3,283,283,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00837840000167480031256772576853,0.01799988746643060161245486483494,,,True,True,0,0,425,425,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,,,,,,,,,
cardiacarrest,0.00774139999703029983713076234153,0.01699995994567870052915914413916,0.01830024211612721329878183951223,0.01830024211612721329878183951223,False,True,2,2,266,266,,,,,,,,,0.04921572004838711822394259343127,0.01122650800612807163447737224260,0.04921572004838711822394259343127,0.01122650800612807163447737224260,,,,,,,,,,,,
neuroblastoma,0.00262600000132800007190958524461,0.00300002098083489978849747181755,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.05282340000121620027240254557910,0.20399999618530270661942438437109,-0.05471067834897370973923358405955,-0.05471067834897370280033968015232,False,True,3,3,705,705,,,,,,,,,,,,,,,,,-0.07228706072699286888649794491357,0.07850717341725405029606577045342,-0.07228706072699286888649794491357,0.07850717341725406417385357826788,,,,
type1diabetes,0.00158250000094990002016959174114,0.00000000000000000000000000000000,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
