dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.01012626999581689966889452847454,0.01119999885559080053665237386440,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0
moons,0.00926467500248689956876546602871,0.01165000200271600061530108405350,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0
varied,0.00858842999587059938160216177039,0.00870000123977660022589475374843,0.38494757028565967926780899688310,0.38494757028565967926780899688310,True,True,3,3,59,59
aniso,0.00860516500106310068540782509672,0.49815000295639039196160524625157,0.29189396011731505442554635010310,0.29189396011731505442554635010310,True,True,3,3,9,9
blobs,0.00788254999788469933041934467610,0.01085000038146969984775846995717,0.48414911752921407916971929807914,0.48414911752921407916971929807914,True,True,2,2,5,5
no_structure,0.00829405999829749968066394671951,0.00729999542236320006494132428543,0.18009902134055474909324345844652,0.18009902134055474909324345844652,True,True,11,11,184,184
heartfailure,0.00918292999704129961346943389344,0.07220000028610229492187500000000,0.42535316669592415639300497787190,0.42535316669592415639300497787190,True,True,4,4,26,26
cardiacarrest,0.00808560000004939979922902182352,0.04275000095367430252846219218554,0.00216007603296905405926287002671,0.00216007603296905405926287002671,True,True,3,3,242,242
neuroblastoma,0.00299692000262429978849065825841,0.04200000762939450071886682280820,0.18084667095182632712280224041024,0.18084667095182632712280224041024,True,True,2,2,94,94
sepsis,0.04367682000010970205794436083124,0.08825000524520870692768426124530,0.06210525259855660673569133223282,0.06210525259855660673569133223282,True,True,4,4,922,922
type1diabetes,0.00198506999877280003799495666783,0.04364999532699580242489645343085,,,True,True,0,0,67,67
