dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00935071500134650006319514403685,0.00584999322891230008614193991434,,,True,True,0,0,500,500
moons,0.00846268500317809944932800902961,0.01105000972747799924122968917573,0.53398436386489955829404152609641,0.53398436386489955829404152609641,True,True,2,2,1,1
varied,0.00868800000316690031187949472269,0.01115000247955320010484481230151,0.51063745381910763398991548456252,0.51063745381910763398991548456252,True,True,2,2,68,68
aniso,0.00913114499853689975950032930996,0.50355000495910640090357901499374,0.40022571690184571835402493888978,0.40022571690184571835402493888978,True,True,2,2,32,32
blobs,0.00904975000739790050308108959598,0.01095000505447379923751327623904,0.45741165988348558846254832133127,0.45741165988348558846254832133127,True,True,2,2,24,24
no_structure,0.00832764999649950043991708525937,0.00644999742507929973295288661461,,,True,True,0,0,500,500
heartfailure,0.00997356000298160044748030372830,0.07039999961853020404856096092772,0.38811195391297614865067089340300,0.38811195391297614865067089340300,True,True,2,2,98,98
cardiacarrest,0.00838962000270829927339732989822,0.04440000057220450102590802998748,,,True,True,0,0,422,422
neuroblastoma,0.00325407499767600000284417660623,0.04220000505447379923751327623904,,,True,True,0,0,169,169
sepsis,0.04849314000020960024883720507205,0.09334999322891229800447376874217,,,True,True,0,0,1257,1257
type1diabetes,0.00270198500074910006457651334699,0.04325000047683710130419498796073,,,True,True,0,0,67,67
