dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00883280999551059979590927895288,0.01159999370574949992263036335771,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0
moons,0.00775776999944349961169098861546,0.01320000886917110059781688136127,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0
varied,0.00821927499928270036133604037332,0.00864999294281000065398590237464,0.60723331939802016599116996076191,0.60723331939802016599116996076191,True,True,3,3,79,79
aniso,0.00834205500286770013085302366562,0.50180000066757202148437500000000,0.34794739786399303538289018433716,0.34794739786399303538289018433716,True,True,3,3,59,59
blobs,0.00827822999854099968175535906312,0.01225000619888299939475029276537,0.47949032686751014153969663311727,0.47949032686751014153969663311727,True,True,2,2,12,12
no_structure,0.00888462500151939935100209311258,0.00929999351501459986524267264940,0.09227800261987059715629300171713,0.09227800261987059715629300171713,True,True,3,3,283,283
heartfailure,0.00996502499911000073906652829692,0.07124999761581420065770231531133,0.34366754850503428153629670305236,0.34366754850503428153629670305236,True,True,3,3,64,64
cardiacarrest,0.00851852000341750056899847720615,0.04490000009536739694615548046386,-0.00811162226971144303955263410444,-0.00811162226971144303955263410444,True,True,2,2,309,309
neuroblastoma,0.00351162000006289979139872947655,0.04385000467300410181836767264940,0.18548872691768775178289274663257,0.18548872691768775178289274663257,True,True,2,2,83,83
sepsis,0.04836804500664580036550788122440,0.09229999780654900287668596092772,0.01297568108981095313936293678125,0.01297568108981095313936293678125,True,True,2,2,1033,1033
type1diabetes,0.00194702000153479989202898181588,0.04374999999999999722444243843711,,,True,True,0,0,67,67
