dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.01144447500410020017447276785560,0.01104999780654900010112839936482,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0
moons,0.01069908499630400043611810900757,0.00994999408721920081122291890097,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0
varied,0.00857747999543780059727993148044,0.00709999799728389981157139487777,0.38494757028565967926780899688310,0.38494757028565967926780899688310,True,True,3,3,59,59
aniso,0.00987258000095599975998172936897,0.49539999961853020682411852249061,0.29189396011731505442554635010310,0.29189396011731505442554635010310,True,True,3,3,9,9
blobs,0.00845242000505089935424862801483,0.01094999313354490071137359308295,0.48414911752921407916971929807914,0.48414911752921407916971929807914,True,True,2,2,5,5
no_structure,0.00896416999748900038269550094583,0.00634999275207509972923647367793,0.16928869177779728993904484468658,0.16928869177779728993904484468658,True,True,13,13,176,176
heartfailure,0.00920177000225519924059280896245,0.07149999141693109960815633030506,0.27800202067157880891912213883188,0.27800202067157880891912213883188,True,True,5,5,49,49
cardiacarrest,0.00840663999842940039275429597865,0.05379999876022330262959059155037,-0.02037833585300445615740017046846,-0.02037833585300445615740017046846,True,True,2,2,116,116
neuroblastoma,0.00336267499951640016012111011889,0.04299999475479120147891620717928,0.25539981561712205015979293420969,0.25539981561712205015979293420969,True,True,6,6,85,85
sepsis,0.04316056000097880096522118265057,0.12664999961853021237523364561639,0.01819750095148563173719225005698,0.01819750095148563173719225005698,True,True,2,2,282,282
type1diabetes,0.00196405500319080019572259843130,0.04380000829696650138656011108651,,,True,True,0,0,67,67
