dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00829143999726509976777588661889,0.00549999475479120026460977399552,0.46335973382996842317993468896020,0.46335973382996842317993468896020,True,True,21,21,136,136
moons,0.00773392499686450032858608949482,0.00594999790191650008985835285102,0.44274681307304752930775748609449,0.44274681307304752930775748609449,True,True,19,19,140,140
varied,0.00718797000590709958545154734111,0.00549999475479120026460977399552,0.13681722160480561112372299703566,0.11722772358481074739255944905381,False,False,9,9,313,313
aniso,0.00749285499769030034766803538560,0.56064999103546142578125000000000,0.40150846044691002045823324806406,0.40150846044691002045823324806406,True,True,9,9,244,244
blobs,0.00730570999730839956698424941806,0.00805000066757199927991450749687,0.13255169123157090060871610148752,0.13255169123157090060871610148752,True,True,8,8,337,337
no_structure,0.00792928499577100036332932830874,0.00504999160766600018596106380642,0.29680127578125659049135265377117,0.29680127578125659049135265377117,True,True,14,14,194,194
heartfailure,0.01485972499795019940993512364003,0.06525000333786010187075987687422,0.33206805978900172382495270539948,0.33206805978900172382495270539948,True,True,7,7,145,145
cardiacarrest,0.00970021999819429929512448751439,0.04095000028610219777736034529880,,,True,True,7,7,298,298
neuroblastoma,0.00326809500111259997046087022454,0.03949999809265129779856096092772,,,True,True,5,5,56,56
sepsis,0.08018179499340470639534572683260,0.08249999284744259642199182280820,0.02332495806854553016540521070965,0.02332495806854553016540521070965,True,True,14,14,1004,1004
type1diabetes,0.00237046999682199999170961746131,0.08344999551773070456395231531133,,,True,True,0,0,67,67
