dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00855606000259279998731987149085,0.00685000419616690024715577322922,0.32061727748737378629328986789915,0.32061727748737378629328986789915,True,True,6,6,146,146
moons,0.00795365500089239944869756726575,0.00659999847412100042187699244778,0.71418619248685399902853987441631,0.71418619248685399902853987441631,True,True,3,3,63,63
varied,0.00869417999929279934623327363852,0.00644999742507929973295288661461,0.73981583301240538830256809887942,0.73981583301240538830256809887942,True,True,3,3,74,74
aniso,0.00830620999768139946228817649398,0.54299999475479121535670401499374,0.68694427129773427687098319438519,0.68694427129773427687098319438519,True,True,3,3,77,77
blobs,0.00843196499918119971028751535869,0.00584999322891230008614193991434,0.65064893431285186764512218360323,0.65064893431285186764512218360323,True,True,3,3,92,92
no_structure,0.00835340499907030048509781749999,0.00670000314712520042559340538446,0.32856447403150967900842260860372,0.32856447403150967900842260860372,True,True,4,4,271,271
heartfailure,0.01520124499947990079351534120633,0.06330000162124629903281913811952,0.76141368734485248559451520122821,0.76141368734485248559451520122821,True,True,3,3,55,55
cardiacarrest,0.01061718999844740024540712397538,0.04754999876022329707847546842459,,,True,True,0,0,422,422
neuroblastoma,0.00376601999741970000848412247763,0.08295000791549679564074182280820,,,True,True,0,0,169,169
sepsis,0.08590680999914179771792532847030,0.09404999017715449938226157655663,0.03322864969206888036135083552836,0.03322864969206888036135083552836,True,True,2,2,1081,1081
type1diabetes,0.00284916499658719986690091907633,0.04249999523162840270318341140410,,,True,True,0,0,67,67
