dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00810184000147269947622596930614,0.00635000467300409973669950147723,0.39482143020003734878997647683718,0.39482143020003734878997647683718,True,True,13,13,145,145
moons,0.00800267499726029993278864083095,0.00635000467300409973669950147723,0.52956900993733979632338559895288,0.52956900993733979632338559895288,True,True,12,12,164,164
varied,0.00715319999726480009599738352222,0.00564999580383299983277201050669,0.11889820875645891462557557360924,0.11427181186177226557276753737824,False,False,6,6,329,329
aniso,0.00754435999988339964922312574913,0.57095000743865964576428950749687,0.37951520363596213947232627106132,0.37951520363596213947232627106132,True,True,7,7,269,269
blobs,0.00761692000378379977659770716514,0.00535000562667839983654882729525,0.30968441371937194261931836081203,0.30968441371937194261931836081203,True,True,5,5,185,185
no_structure,0.00791246000298989962673523734793,0.00550000667572020027207280179482,0.25982239014922681175079333115718,0.25982239014922681175079333115718,True,True,9,9,216,216
heartfailure,0.01434038499864979943065890211074,0.06614999771118160176719413811952,0.33151731778721715837576766716666,0.33151731778721715837576766716666,True,True,5,5,165,165
cardiacarrest,0.00980302500684039970768601790496,0.04599999189376829944464475374843,,,True,True,5,5,293,293
neuroblastoma,0.00335833999706659997244728721455,0.04084999561309810012232901499374,,,True,True,5,5,56,56
sepsis,0.08172525500267510678575888505293,0.08795000314712519973170401499374,0.00198768345522590088314540679448,0.00198768345522590088314540679448,True,True,8,8,985,985
type1diabetes,0.00244631999667029986084143544645,0.08744999170303340008114645343085,,,True,True,0,0,67,67
