dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00972438999742730042497029785409,0.00665000677108759999378584382157,,,True,True,0,0,500,500
moons,0.00908276499831110056826233289939,0.00714999437332150024337895644067,0.88639818937257586206612813839456,0.88639818937257586206612813839456,True,True,2,2,9,9
varied,0.00872150499781119969977538630701,0.00780000686645499971549888584832,0.77194593831629665370286375036812,0.77194593831629665370286375036812,True,True,2,2,72,72
aniso,0.00982122500136019954686261712595,0.63170000314712526634508549250313,0.67890269074417275430022300497512,0.67890269074417275430022300497512,True,True,3,3,83,83
blobs,0.00958067000028670068267899750936,0.00979999303817740037569894440139,0.60581350846249293340406438801438,0.60581350846249293340406438801438,True,True,3,3,84,84
no_structure,0.00946394499915179966686995527425,0.00724999904632559963313376272254,,,True,True,0,0,500,500
heartfailure,0.01796214000205499997098179676414,0.07949999570846549845626327623904,0.61740096818043732618264129996533,0.61740096818043732618264129996533,True,True,2,2,96,96
cardiacarrest,0.01242174500075629919870756623368,0.05679999589920040059531913811952,,,True,True,0,0,422,422
neuroblastoma,0.00397953000065170026805505543166,0.10429999828338619438650169968241,,,True,True,0,0,169,169
sepsis,0.09444228499487500316789123644412,0.11009999513626089751028302998748,,,True,True,0,0,1257,1257
type1diabetes,0.00309362999832949988124330964467,0.05015000104904170086239645343085,,,True,True,0,0,67,67
